eps,min_samples,clusters,noise_points,noise_ratio,silhouette_non_noise
0.15,3,12,83,0.415,
0.15,4,7,103,0.515,
0.15,5,6,117,0.585,
0.15,6,3,147,0.735,
0.15,7,4,148,0.74,
0.15,8,1,172,0.86,
0.15,9,1,172,0.86,
0.15,10,1,187,0.935,
0.2,3,13,44,0.22,
0.2,4,5,73,0.365,
0.2,5,7,77,0.385,
0.2,6,4,95,0.475,
0.2,7,4,100,0.5,
0.2,8,2,116,0.58,
0.2,9,1,128,0.64,
0.2,10,1,129,0.645,
0.25,3,12,16,0.08,
0.25,4,7,43,0.215,0.5379691563691456
0.25,5,6,50,0.25,0.531656604742725
0.25,6,6,69,0.345,
0.25,7,5,77,0.385,
0.25,8,5,79,0.395,
0.25,9,3,100,0.5,
0.25,10,2,111,0.555,
0.30000000000000004,3,9,14,0.07,0.47204049387962216
0.30000000000000004,4,8,23,0.115,0.5197459953499523
0.30000000000000004,5,7,35,0.175,0.5243276105881419
0.30000000000000004,6,6,48,0.24,0.5302439331226376
0.30000000000000004,7,4,72,0.36,
0.30000000000000004,8,5,72,0.36,
0.30000000000000004,9,4,86,0.43,
0.30000000000000004,10,4,88,0.44,
0.3500000000000001,3,7,11,0.055,0.5153893817159471
0.3500000000000001,4,7,16,0.08,0.5109576586357844
0.3500000000000001,5,6,23,0.115,0.5577457478878458
0.3500000000000001,6,7,25,0.125,0.5031438295828949
0.3500000000000001,7,5,47,0.235,0.5707812043108534
0.3500000000000001,8,4,55,0.275,0.5994016095414765
0.3500000000000001,9,6,58,0.29,0.5172876620206829
0.3500000000000001,10,5,73,0.365,
0.4000000000000001,3,4,10,0.05,0.3953808255515419
0.4000000000000001,4,3,14,0.07,0.45757015654927535
0.4000000000000001,5,4,15,0.075,0.4780592455223124
0.4000000000000001,6,4,19,0.095,0.49001468690010924
0.4000000000000001,7,4,20,0.1,0.494620783846035
0.4000000000000001,8,5,25,0.125,0.5489916076416773
0.4000000000000001,9,4,45,0.225,0.5848572691264285
0.4000000000000001,10,4,51,0.255,0.5971952486543135
0.45000000000000007,3,2,9,0.045,0.38643740077405464
0.45000000000000007,4,2,9,0.045,0.38643740077405464
0.45000000000000007,5,3,11,0.055,0.35364142756852107
0.45000000000000007,6,3,14,0.07,0.35406894671407385
0.45000000000000007,7,3,16,0.08,0.3688982822361885
0.45000000000000007,8,3,19,0.095,0.38197979257700443
0.45000000000000007,9,5,24,0.12,0.5489752919334162
0.45000000000000007,10,5,29,0.145,0.5736353881040241
0.5000000000000001,3,2,7,0.035,0.3892468662417122
0.5000000000000001,4,2,8,0.04,0.3875583892728279
0.5000000000000001,5,2,8,0.04,0.3875583892728279
0.5000000000000001,6,2,11,0.055,0.4011492821104712
0.5000000000000001,7,2,12,0.06,0.39422828521122516
0.5000000000000001,8,2,15,0.075,0.4010057526878973
0.5000000000000001,9,3,17,0.085,0.3747117046515576
0.5000000000000001,10,4,21,0.105,0.5106676350237243
0.5500000000000002,3,1,1,0.005,
0.5500000000000002,4,1,7,0.035,
0.5500000000000002,5,1,7,0.035,
0.5500000000000002,6,1,8,0.04,
0.5500000000000002,7,1,11,0.055,
0.5500000000000002,8,1,11,0.055,
0.5500000000000002,9,1,12,0.06,
0.5500000000000002,10,2,13,0.065,0.3557309523036748
0.6000000000000001,3,1,0,0.0,
0.6000000000000001,4,1,5,0.025,
0.6000000000000001,5,1,5,0.025,
0.6000000000000001,6,1,6,0.03,
0.6000000000000001,7,1,6,0.03,
