,precision,recall,f1-score,support
Spruce/Fir,0.9218472468916519,0.8896126157010628,0.9054431263084438,8751.0
Lodgepole Pine,0.9109365861809675,0.9316414594548407,0.9211726934775262,11703.0
Ponderosa Pine,0.861323155216285,0.916723087339201,0.8881600524762218,1477.0
Cottonwood/Willow,0.75,0.9026548672566371,0.8192771084337349,113.0
Aspen,0.819047619047619,0.6581632653061225,0.7298444130127298,392.0
Douglas-fir,0.7933884297520661,0.803347280334728,0.7983367983367984,717.0
Krummholz,0.9151732377538829,0.9043683589138135,0.9097387173396675,847.0
accuracy,0.906,0.906,0.906,0.906
macro avg,0.853102324977496,0.8580729906152008,0.8531389870550176,24000.0
weighted avg,0.9062407637106499,0.906,0.9057276136978436,24000.0
