feature,importance
Elevation,0.23315768665250847
Horizontal_Distance_To_Roadways,0.09935816819850544
Horizontal_Distance_To_Fire_Points,0.07789063057772874
Horizontal_Distance_To_Hydrology,0.06039143669944875
Vertical_Distance_To_Hydrology,0.05069138549062577
Hillshade_9am,0.0473193185149587
Aspect,0.043528988707589186
Wilderness_Area_3,0.041624302953062686
Hillshade_3pm,0.04047309533747326
Hillshade_Noon,0.03974107206668726
Slope,0.03140026463227329
Wilderness_Area_0,0.022333017926066855
Soil_Type_9,0.021687851979196718
Soil_Type_2,0.021206679612310344
Wilderness_Area_2,0.021157406901088503
Soil_Type_37,0.020719927324790194
Soil_Type_38,0.019518908615799104
Soil_Type_3,0.013084324140339143
Soil_Type_39,0.011828881856074874
Soil_Type_29,0.009461118111962586
Soil_Type_1,0.007729991331826825
Soil_Type_12,0.005826131359040829
Soil_Type_21,0.00548565430446302
Soil_Type_16,0.005379930630597979
Soil_Type_11,0.004985810431670675
Soil_Type_22,0.004859453938151504
Wilderness_Area_1,0.004440696705238572
Soil_Type_28,0.0043961382968835845
Soil_Type_31,0.004256124282926971
Soil_Type_32,0.0036789755779597214
Soil_Type_10,0.0029233723367924824
Soil_Type_5,0.0026915033208642692
Soil_Type_30,0.002554378040142843
Soil_Type_23,0.0024148586673379256
Soil_Type_34,0.0023807134209777865
Soil_Type_0,0.0017700083215699447
Soil_Type_19,0.0012513893697338387
Soil_Type_4,0.0011982521410308828
Soil_Type_17,0.0009876677743656244
Soil_Type_13,0.0008021796768857631
Soil_Type_15,0.0007234222697075893
Soil_Type_36,0.0006233315667214653
Soil_Type_25,0.000475607335487852
Soil_Type_18,0.0004703352742881116
Soil_Type_33,0.00040829439003172194
Soil_Type_20,0.00019081034731809087
Soil_Type_26,0.000169203902102261
Soil_Type_27,0.000144082936174812
Soil_Type_8,0.00010079837706321586
Soil_Type_35,5.259207790095982e-05
Soil_Type_24,3.881062533667605e-05
Soil_Type_7,9.110699297199288e-06
Soil_Type_6,5.903971619154179e-06
Soil_Type_14,0.0
