,precision,recall,f1-score,support
Spruce/Fir,0.939177311613735,0.915781053593875,0.9273316361953251,8751.0
Lodgepole Pine,0.9246688741721855,0.9544561223617876,0.939326409620317,11703.0
Ponderosa Pine,0.9183266932270916,0.936357481381178,0.9272544418370767,1477.0
Cottonwood/Willow,0.8403361344537815,0.8849557522123894,0.8620689655172413,113.0
Aspen,0.8819444444444444,0.6479591836734694,0.7470588235294118,392.0
Douglas-fir,0.8918518518518519,0.8396094839609484,0.8649425287356322,717.0
Krummholz,0.9662077596996246,0.911452184179457,0.9380315917375456,847.0
accuracy,0.9289583333333333,0.9289583333333333,0.9289583333333333,0.9289583333333333
macro avg,0.9089304384946736,0.8700816087661577,0.8865734853103643,24000.0
weighted avg,0.9289593737468399,0.9289583333333333,0.9284378472482231,24000.0
