feature,importance
Wilderness_Area_3,0.16608079
Soil_Type_3,0.049653493
Soil_Type_1,0.04915342
Soil_Type_2,0.04643633
Soil_Type_38,0.045783143
Soil_Type_37,0.035496145
Soil_Type_11,0.035376213
Soil_Type_21,0.029609894
Soil_Type_9,0.029178808
Elevation,0.027346527
Wilderness_Area_0,0.025751172
Soil_Type_39,0.025734242
Soil_Type_24,0.024500726
Soil_Type_34,0.02133554
Soil_Type_36,0.02121864
Soil_Type_4,0.018737687
Soil_Type_13,0.018325562
Soil_Type_20,0.017368322
Soil_Type_30,0.0148285
Soil_Type_5,0.014624941
Soil_Type_26,0.014551552
Wilderness_Area_2,0.014491337
Soil_Type_16,0.014034141
Wilderness_Area_1,0.01389716
Soil_Type_31,0.013888833
Soil_Type_0,0.012926909
Soil_Type_12,0.012653978
Soil_Type_17,0.011889477
Soil_Type_33,0.011483006
Soil_Type_22,0.011422558
Soil_Type_23,0.011086983
Soil_Type_19,0.010976629
Soil_Type_28,0.010895174
Soil_Type_10,0.010372685
Soil_Type_15,0.009422343
Soil_Type_25,0.00931894
Soil_Type_29,0.009046463
Soil_Type_8,0.008384886
Soil_Type_32,0.008247111
Horizontal_Distance_To_Roadways,0.00715655
Soil_Type_18,0.006789937
Horizontal_Distance_To_Fire_Points,0.006772618
Horizontal_Distance_To_Hydrology,0.006032879
Soil_Type_35,0.005713749
Hillshade_Noon,0.004475196
Hillshade_9am,0.004234311
Vertical_Distance_To_Hydrology,0.00423195
Soil_Type_27,0.0038678956
Soil_Type_7,0.0038658734
Aspect,0.0036701008
Hillshade_3pm,0.0033357427
Slope,0.0031991648
Soil_Type_6,0.0011237842
Soil_Type_14,0.0
