,precision,recall,f1-score,support
blues,0.6842105263157895,0.65,0.6666666666666666,20.0
classical,0.95,0.95,0.95,20.0
country,0.6363636363636364,0.7,0.6666666666666666,20.0
disco,0.7692307692307693,0.5,0.6060606060606061,20.0
hiphop,0.6,0.6,0.6,20.0
jazz,0.7083333333333334,0.85,0.7727272727272727,20.0
metal,0.9411764705882353,0.8,0.8648648648648649,20.0
pop,0.8421052631578947,0.8,0.8205128205128205,20.0
reggae,0.5185185185185185,0.7,0.5957446808510638,20.0
rock,0.5789473684210527,0.55,0.5641025641025641,20.0
accuracy,0.71,0.71,0.71,0.71
macro avg,0.7228885885929228,0.71,0.7107346142452526,200.0
weighted avg,0.7228885885929229,0.71,0.7107346142452525,200.0
