,precision,recall,f1-score,support
blues,0.7368421052631579,0.7,0.717948717948718,20.0
classical,0.8636363636363636,0.95,0.9047619047619048,20.0
country,0.8,0.8,0.8,20.0
disco,0.5333333333333333,0.4,0.45714285714285713,20.0
hiphop,0.5185185185185185,0.7,0.5957446808510638,20.0
jazz,0.6956521739130435,0.8,0.7441860465116279,20.0
metal,0.8,0.8,0.8,20.0
pop,0.8095238095238095,0.85,0.8292682926829268,20.0
reggae,0.5555555555555556,0.5,0.5263157894736842,20.0
rock,0.6666666666666666,0.5,0.5714285714285714,20.0
accuracy,0.7,0.7,0.7,0.7
macro avg,0.6979728526410448,0.7,0.6946796860801354,200.0
weighted avg,0.6979728526410449,0.7,0.6946796860801353,200.0
