,precision,recall,f1-score,support
blues,0.7727272727272727,0.85,0.8095238095238095,20.0
classical,0.7391304347826086,0.85,0.7906976744186046,20.0
country,0.85,0.85,0.85,20.0
disco,0.7058823529411765,0.6,0.6486486486486487,20.0
hiphop,0.8421052631578947,0.8,0.8205128205128205,20.0
jazz,0.7727272727272727,0.85,0.8095238095238095,20.0
metal,0.9375,0.75,0.8333333333333334,20.0
pop,0.7368421052631579,0.7,0.717948717948718,20.0
reggae,0.625,0.75,0.6818181818181818,20.0
rock,0.7222222222222222,0.65,0.6842105263157895,20.0
accuracy,0.765,0.765,0.765,0.765
macro avg,0.7704136923821606,0.765,0.7646217522043715,200.0
weighted avg,0.7704136923821606,0.765,0.7646217522043715,200.0
