,precision,recall,f1-score,support
blues,0.7142857142857143,0.75,0.7317073170731707,20.0
classical,0.9,0.9,0.9,20.0
country,0.6666666666666666,0.7,0.6829268292682927,20.0
disco,0.5,0.5,0.5,20.0
hiphop,0.6666666666666666,0.8,0.7272727272727273,20.0
jazz,0.7083333333333334,0.85,0.7727272727272727,20.0
metal,0.9411764705882353,0.8,0.8648648648648649,20.0
pop,0.75,0.75,0.75,20.0
reggae,0.5789473684210527,0.55,0.5641025641025641,20.0
rock,0.6428571428571429,0.45,0.5294117647058824,20.0
accuracy,0.705,0.705,0.705,0.705
macro avg,0.7068933362818812,0.705,0.7023013340014774,200.0
weighted avg,0.7068933362818812,0.705,0.7023013340014775,200.0
