variant,params,mean_test_score,std_test_score,mean_train_score,rank_test_score
Logistic Regression - All Features,"{""C"": 0.1}",0.7015379803708874,0.038837064347173565,0.8339487827100976,2
Logistic Regression - All Features,"{""C"": 1.0}",0.7049502265069898,0.03562421674093209,0.9092882009435135,1
Logistic Regression - All Features,"{""C"": 10.0}",0.6660776132062142,0.02936114460999126,0.9650496875448441,3
RBF SVM - All Features,"{""C"": 1.0, ""gamma"": ""scale""}",0.6990882445207189,0.027385239811702954,0.8879141485946989,5
RBF SVM - All Features,"{""C"": 1.0, ""gamma"": 0.01}",0.6813108488298831,0.022353211257594777,0.8230003135741981,6
RBF SVM - All Features,"{""C"": 10.0, ""gamma"": ""scale""}",0.7352389303810204,0.0403292351562524,0.9987499237013978,2
RBF SVM - All Features,"{""C"": 10.0, ""gamma"": 0.01}",0.7257255465412096,0.032111400204656484,0.9899858007014902,4
RBF SVM - All Features,"{""C"": 100.0, ""gamma"": ""scale""}",0.7359761223744931,0.04032470096100675,0.9990624427760484,1
RBF SVM - All Features,"{""C"": 100.0, ""gamma"": 0.01}",0.7318367547090088,0.03548999344522412,0.9990624427760484,3
Random Forest - All Features,"{""max_depth"": null, ""min_samples_leaf"": 1}",0.7052625438037132,0.049876482497873006,0.9990624427760484,2
Random Forest - All Features,"{""max_depth"": null, ""min_samples_leaf"": 2}",0.6835717681595449,0.04067452820522999,0.9987523089130853,3
Random Forest - All Features,"{""max_depth"": 15, ""min_samples_leaf"": 1}",0.7062249864812034,0.0471438476166898,0.9990624427760484,1
Random Forest - All Features,"{""max_depth"": 15, ""min_samples_leaf"": 2}",0.6823286109818139,0.03995647934177885,0.9987523089130853,4
RBF SVM - MFCC Only,"{""C"": 1.0, ""gamma"": ""scale""}",0.6696154795873221,0.0320470216232806,0.8441004794792372,4
RBF SVM - MFCC Only,"{""C"": 1.0, ""gamma"": 0.01}",0.6181828309740682,0.03666794841475781,0.7371834373713939,6
RBF SVM - MFCC Only,"{""C"": 10.0, ""gamma"": ""scale""}",0.6897419894316619,0.024136839068681807,0.9971873664774462,2
RBF SVM - MFCC Only,"{""C"": 10.0, ""gamma"": 0.01}",0.6926947711274838,0.02250454453458475,0.9491317627932185,1
RBF SVM - MFCC Only,"{""C"": 100.0, ""gamma"": ""scale""}",0.6805511760061105,0.02730614669836745,0.9990624427760484,3
RBF SVM - MFCC Only,"{""C"": 100.0, ""gamma"": 0.01}",0.6631098780054154,0.05107182939061382,0.9990624427760484,5
