feature,importance,importance_std
SalesLag52,390278.74755881773,4713.9799861195215
RollingMean4,59804.19209791999,1618.887023081498
SalesLag1,41823.39897076355,951.7067306683132
RollingMean13,22999.30112048113,1249.805379055151
Unemployment,4317.74489819761,410.75515243282103
RollingStd4,2765.6954226629723,311.9879437259161
SalesLag4,1572.8672350511654,202.8111379903822
Store,1396.9325382732118,621.2146897195917
Holiday_Flag,492.81401721296135,568.5373611359327
WeekSin,273.82662996637373,341.1657328435367
RollingStd13,228.2573640391347,56.30022653676609
Fuel_Price,168.30617906885308,246.47879422852668
WeekOfYear,19.991044988929936,72.95726393169483
Year,0.0,0.0
SalesLag2,-41.09784861249791,234.7824693283065
WeekCos,-43.83177098331216,158.86830550917048
Temperature,-96.69011585060215,99.4206859061186
Quarter,-196.60345302737696,72.56679087991927
CPI,-204.28920479945518,136.62882413742892
Month,-433.8338283187215,486.22895842805906
SalesLag13,-745.8820272622324,116.35734181904878
