epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.053,1.34351,9.48951,0.94258,0,0,0,0,1.16491,6.47215,0.85052,7.00533e-05,7.00533e-05,7.00533e-05
2,186.564,1.36676,9.09957,0.88748,0.01356,0.29063,0.01744,0.01197,1.31053,6.26749,0.86028,0.000127089,0.000127089,0.000127089
3,261.178,1.28926,8.46624,0.87489,0.01222,0.42726,0.02428,0.01835,1.14868,5.89021,0.84082,0.000170067,0.000170067,0.000170067
4,332.447,1.27354,8.17815,0.85611,0.01555,0.38244,0.02047,0.01439,1.14538,5.68947,0.83752,0.000149739,0.000149739,0.000149739
5,399.381,1.27053,7.95471,0.86357,0.01378,0.50384,0.02705,0.01963,1.06778,5.58344,0.82885,0.000128652,0.000128652,0.000128652
6,464.038,1.21134,7.43342,0.85123,0.01315,0.5127,0.02693,0.01995,1.03501,5.52326,0.82469,0.000107565,0.000107565,0.000107565
7,538.951,1.16987,7.2303,0.85589,0.43749,0.14864,0.02739,0.02024,1.03125,5.39617,0.8264,8.6478e-05,8.6478e-05,8.6478e-05
8,617.835,1.15411,7.05056,0.83685,0.01274,0.46983,0.02672,0.01994,0.99326,5.3239,0.8237,6.5391e-05,6.5391e-05,6.5391e-05
9,702.672,1.11031,6.95924,0.84341,0.07794,0.32419,0.0269,0.01983,1.01219,5.31791,0.82528,4.4304e-05,4.4304e-05,4.4304e-05
10,791.574,1.10656,6.83845,0.85071,0.01465,0.50683,0.02693,0.0202,0.9919,5.31831,0.82353,2.3217e-05,2.3217e-05,2.3217e-05
